"*Master* - Odessa > 177 > Power End > Hole 5 > Damage Accumulation",,,,,"*Master* - Odessa > 319 > Power End > Hole 1 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
,,,,,10/15/2018 5:26:29 PM,0.4346241,0.4346241,0.4346241,,
,,,,,10/15/2018 5:27:30 PM,0.5009418,0.5009418,0.5009418,,
,,,,,10/15/2018 5:28:30 PM,0.5588644,0.5588644,0.5588644,,
,,,,,10/15/2018 5:29:31 PM,0.4838174,0.4838174,0.4838174,,
,,,,,10/15/2018 5:30:32 PM,0.0016258,0.0016258,0.0016258,,
,,,,,10/15/2018 5:31:32 PM,0.0017434,0.0017434,0.0017434,,
,,,,,10/15/2018 5:32:32 PM,0.001698,0.001698,0.001698,,
,,,,,10/15/2018 5:33:33 PM,0.0016402,0.0016402,0.0016402,,
,,,,,10/15/2018 5:34:33 PM,0.001579,0.001579,0.001579,,
,,,,,10/15/2018 5:35:34 PM,0.0015967,0.0015967,0.0015967,,
,,,,,10/15/2018 5:36:34 PM,0.0017045,0.0017045,0.0017045,,
,,,,,10/15/2018 5:37:35 PM,0.0015947,0.0015947,0.0015947,,
,,,,,10/15/2018 5:38:35 PM,0.00156,0.00156,0.00156,,
,,,,,10/15/2018 5:39:36 PM,0.0016969,0.0016969,0.0016969,,
,,,,,10/15/2018 5:40:36 PM,0.0016185,0.0016185,0.0016185,,
,,,,,10/15/2018 5:41:37 PM,0.0016472,0.0016472,0.0016472,,
,,,,,10/15/2018 5:42:37 PM,0.0015578,0.0015578,0.0015578,,
,,,,,10/15/2018 5:43:38 PM,0.0017317,0.0017317,0.0017317,,
,,,,,10/15/2018 5:45:39 PM,0.0017109,0.0017109,0.0017109,,
,,,,,10/15/2018 5:46:39 PM,0.001566,0.001566,0.001566,,
,,,,,10/15/2018 5:47:39 PM,0.0015179,0.0015179,0.0015179,,
,,,,,10/15/2018 5:48:40 PM,0.0017064,0.0017064,0.0017064,,
,,,,,10/15/2018 5:49:40 PM,0.0015684,0.0015684,0.0015684,,
,,,,,10/15/2018 5:50:41 PM,0.0016652,0.0016652,0.0016652,,
,,,,,10/15/2018 5:51:41 PM,0.0016412,0.0016412,0.0016412,,
,,,,,10/15/2018 5:52:42 PM,0.0632332,0.0632332,0.0632332,,
,,,,,10/15/2018 5:53:42 PM,0.0016357,0.0016357,0.0016357,,
,,,,,10/15/2018 5:54:42 PM,0.0017129,0.0017129,0.0017129,,
,,,,,10/15/2018 5:55:43 PM,0.0015666,0.0015666,0.0015666,,
,,,,,10/15/2018 5:56:43 PM,0.001463,0.001463,0.001463,,
,,,,,10/15/2018 5:57:44 PM,0.0016457,0.0016457,0.0016457,,
,,,,,10/15/2018 5:58:44 PM,0.001702,0.001702,0.001702,,
,,,,,10/15/2018 5:59:44 PM,0.0016414,0.0016414,0.0016414,,
,,,,,10/15/2018 6:00:45 PM,0.0015986,0.0015986,0.0015986,,
,,,,,10/15/2018 6:01:45 PM,0.0016827,0.0016827,0.0016827,,
,,,,,10/15/2018 6:02:46 PM,0.0016229,0.0016229,0.0016229,,
,,,,,10/15/2018 6:03:46 PM,0.0016032,0.0016032,0.0016032,,
,,,,,10/15/2018 6:04:47 PM,0.0015962,0.0015962,0.0015962,,
,,,,,10/15/2018 6:05:47 PM,0.0016704,0.0016704,0.0016704,,
,,,,,10/15/2018 6:06:48 PM,0.0015071,0.0015071,0.0015071,,
,,,,,10/15/2018 6:08:48 PM,0.0015464,0.0015464,0.0015464,,
,,,,,10/15/2018 6:09:49 PM,0.001668,0.001668,0.001668,,
,,,,,10/15/2018 6:10:49 PM,0.0017332,0.0017332,0.0017332,,
,,,,,10/15/2018 6:11:50 PM,0.0015456,0.0015456,0.0015456,,
,,,,,10/15/2018 6:12:50 PM,0.0015414,0.0015414,0.0015414,,
,,,,,10/15/2018 6:14:51 PM,0.0016428,0.0016428,0.0016428,,
,,,,,10/15/2018 6:15:52 PM,0.001593,0.001593,0.001593,,
,,,,,10/15/2018 6:16:52 PM,0.0017001,0.0017001,0.0017001,,
,,,,,10/15/2018 6:17:53 PM,0.0014617,0.0014617,0.0014617,,
,,,,,10/15/2018 6:18:53 PM,0.0015766,0.0015766,0.0015766,,
,,,,,10/15/2018 6:19:54 PM,0.0016304,0.0016304,0.0016304,,
,,,,,10/15/2018 6:20:54 PM,0.0016992,0.0016992,0.0016992,,
,,,,,10/15/2018 6:22:56 PM,0.0015111,0.0015111,0.0015111,,
,,,,,10/15/2018 6:24:57 PM,0.0016145,0.0016145,0.0016145,,
,,,,,10/15/2018 6:47:16 PM,0.0016834,0.0016834,0.0016834,,
,,,,,10/15/2018 6:58:20 PM,0.0014971,0.0014971,0.0014971,,
,,,,,10/15/2018 7:10:29 PM,0.0014474,0.0014474,0.0014474,,
,,,,,10/15/2018 7:15:32 PM,0.0019151,0.0019151,0.0019151,,
,,,,,10/15/2018 7:16:33 PM,0.0016028,0.0016028,0.0016028,,
,,,,,10/15/2018 7:21:59 PM,0.0016476,0.0016476,0.0016476,,
,,,,,10/15/2018 7:30:48 PM,0.0039754,0.0039754,0.0039754,,
,,,,,10/15/2018 7:44:40 PM,0.7597191,0.7597191,0.7597191,,
,,,,,10/15/2018 7:45:40 PM,0.6817569,0.6817569,0.6817569,,
,,,,,10/15/2018 7:47:42 PM,0.0180095,0.0180095,0.0180095,,
,,,,,10/15/2018 7:48:43 PM,0.0016471,0.0016471,0.0016471,,
,,,,,10/15/2018 7:49:43 PM,0.0015353,0.0015353,0.0015353,,
,,,,,10/15/2018 7:51:44 PM,0.0015512,0.0015512,0.0015512,,
,,,,,10/15/2018 7:52:44 PM,0.0015628,0.0015628,0.0015628,,
,,,,,10/15/2018 7:53:45 PM,0.001546,0.001546,0.001546,,
,,,,,10/15/2018 7:54:45 PM,0.0014768,0.0014768,0.0014768,,
,,,,,10/15/2018 7:55:46 PM,0.0015296,0.0015296,0.0015296,,
,,,,,10/15/2018 7:56:46 PM,0.0014499,0.0014499,0.0014499,,
,,,,,10/15/2018 7:57:46 PM,0.0015754,0.0015754,0.0015754,,
,,,,,10/15/2018 7:58:47 PM,0.0019499,0.0019499,0.0019499,,
,,,,,10/15/2018 7:59:47 PM,0.0015807,0.0015807,0.0015807,,
,,,,,10/15/2018 8:00:48 PM,0.0172892,0.0172892,0.0172892,,
,,,,,10/15/2018 8:01:48 PM,0.0028497,0.0028497,0.0028497,,
,,,,,10/15/2018 8:02:48 PM,0.0043832,0.0043832,0.0043832,,
,,,,,10/15/2018 8:03:49 PM,0.0016611,0.0016611,0.0016611,,
,,,,,10/15/2018 8:04:49 PM,0.0019629,0.0019629,0.0019629,,
,,,,,10/15/2018 8:05:50 PM,0.0015511,0.0015511,0.0015511,,
,,,,,10/15/2018 8:06:50 PM,0.0032348,0.0032348,0.0032348,,
,,,,,10/15/2018 8:07:50 PM,0.0019727,0.0019727,0.0019727,,
,,,,,10/15/2018 8:08:51 PM,0.0502002,0.0502002,0.0502002,,
,,,,,10/15/2018 8:09:51 PM,0.0015201,0.0015201,0.0015201,,
,,,,,10/15/2018 8:10:52 PM,0.0015907,0.0015907,0.0015907,,
,,,,,10/15/2018 8:11:52 PM,0.0016485,0.0016485,0.0016485,,
,,,,,10/15/2018 8:12:53 PM,0.0016605,0.0016605,0.0016605,,
,,,,,10/15/2018 8:13:53 PM,0.0015714,0.0015714,0.0015714,,
,,,,,10/15/2018 8:14:54 PM,8.3436151,8.3436151,8.3436151,,
,,,,,10/15/2018 8:15:54 PM,0.0016196,0.0016196,0.0016196,,
